asn,network_type,network_name
6724,Content,STRATO AG
34549,NSP,meerfarbig GmbH & Co. KG
34899,NSP,Coast Media GmbH
25124,Cable/DSL/ISP,DATAK
39104,Content,OXEVA
11758,NSP,iRis Networks
12306,NSP,Plus.line AG
5390,Cable/DSL/ISP,Euronet Communications B.V.
7303,Cable/DSL/ISP,TELECOM ARGENTINA
32751,Content,"Nuclearfallout Enterprises, Inc."
8167,NSP,Vtal 8167
40068,Content,"Neovera, Inc."
33626,Route Collector,MEX-IX El Paso Route Collectors
8487,NSP,Phibee Telecom
30925,Cable/DSL/ISP,DELTA Fiber Nederland
13878,NSP,Scala Data Centers (SGRUTB01 AS)
8399,Cable/DSL/ISP,Sewan Communications
17346,Content,Bitnik
12714,Cable/DSL/ISP,PJSC MegaFon
16276,Content,OVHcloud
3216,NSP,VimpelCom
35425,Content,Bytemark Limited
25394,Cable/DSL/ISP,MK Netzdienste AS
20547,NSP,Six Degrees (ex-UKS)
13213,Content,UK2Group
25588,Content,Ultraspeed
29169,NSP,Gandi
20773,Content,Host Europe GmbH
15830,NSP,Equinix as15830
26972,NSP,Sirius Telecom
29668,NSP,vXtream Ltd
10881,Educational/Research,PoP-PR/RNP
23292,Cable/DSL/ISP,Broadstripe
40511,Cable/DSL/ISP,"Fireline Network Solutions, Inc dba: Fireline Broadband"
8851,Cable/DSL/ISP,Nasstar
30914,Content,ioko
15766,NSP,Domicilium (IoM) Limited
11608,Content,Accretive Networks
12874,Cable/DSL/ISP,Fastweb
7459,Cable/DSL/ISP,Grande Communications
42579,NSP,Sargasso Networks Ltd. (UK)
42353,NSP,Simwood eSMS
6677,NSP,Mila
29066,Content,velia.net
15133,Content,Edgecast -  AS15133
9497,NSP,Digitel Philippines
3302,NSP,Retelit S.p.A.
35070,NSP,Digital Virgo France
28001,Enterprise,LACNIC
41037,Content,MetaMicro Automatisering BV
25761,NSP,55 IT Services GmbH
15248,NSP,Data Connection Corp
51058,Non-Profit,RDNS Networks
3512,Educational/Research,Emory University
7521,NSP,INTERNET MULTIFEED CO.
31708,Content,Coreix Limited
12312,NSP,ecotel communication ag
9264,Educational/Research,Academia Sinica Network(ASNet)
18101,NSP,Reliance Communications
14907,Non-Profit,Wikimedia Foundation
20969,Content,Ericsson Broadcast Services Netherlands
9121,NSP,Turk Telekom
31477,Content,Duocast
42755,Cable/DSL/ISP,DataFiber
24642,Content,Caveo Internet BV
35843,Cable/DSL/ISP,Source Cable Ltd.
39309,Cable/DSL/ISP,Edutel
20857,Content,TransIP BV
16082,Cable/DSL/ISP,Spitfire Network Services Ltd
25525,NSP,Reasonnet IP Networks
9930,Cable/DSL/ISP,TIME DotCom Berhad
14366,Cable/DSL/ISP,Mountain Cablevision
29471,Content,WebJanssen ISP ltd @ Co KG
14793,NSP,API Digital
8912,NSP,Netbenefit
9211,NSP,n@work
16414,Cable/DSL/ISP,My High Speed Networks Inc
9821,Educational/Research,PREGINET
20507,Cable/DSL/ISP,InterNLnet BV
14390,NSP,"Coretel America, Inc."
40428,Content,"Pandora Media, Inc"
5089,Cable/DSL/ISP,Virgin Media
15434,NSP,Bartels System GmbH
13412,Enterprise,Vulcan Inc.
6102,Content,CBS
16509,Enterprise,Amazon.com
31383,Content,Computel Standby BV
41399,Content,hostcamp IT-Solutions
31715,Content,Lynk Networks
42615,Cable/DSL/ISP,igloo22225 - AS42615
22561,NSP,LightCore a CenturyTel Co.
7782,NSP,"Alaska Communications Systems Group, Inc."
8717,NSP,A1 BG EAD
34419,NSP,Vodafone Group Services GmbH
38719,Content,Dreamscape Networks
7496,Content,WebCentral
15685,Content,Casablanca INT a.s.
4764,Cable/DSL/ISP,Aussie Broadband
26228,Content,Servepath
9070,NSP,Cooolbox
24724,NSP,ATMAN
35228,Cable/DSL/ISP,O2 Broadband
12284,Cable/DSL/ISP,"IPNS, Inc."
37996,Content,Conexim Australia Pty Ltd
29468,Cable/DSL/ISP,Infracom AB
3491,NSP,PCCW Global
25091,NSP,IP-Max SA
1982,Cable/DSL/ISP,Northwest Nexus
30890,NSP,Evolva Telecom SRL
4637,NSP,Telstra (International)
31688,NSP,Splio
27323,Cable/DSL/ISP,Worldlink
14609,Enterprise,Equinix Corpnet - NAMER
13132,NSP,cyberways GmbH
8481,Cable/DSL/ISP,Transnet Internet Services GmbH
15960,Cable/DSL/ISP,Global Access Internet Services GmbH
25504,Content,Vautron Rechenzentrum AG
15933,Cable/DSL/ISP,ith Kommunikationstechnik GmbH
3937,NSP,Net Vision Telecom
8489,Non-Profit,portal-to-web
29488,Cable/DSL/ISP,ccn corporate communication networks GmbH
8222,NSP,noris network former netplace Telematic
8781,Cable/DSL/ISP,Ooredoo Qatar
12337,NSP,noris network AG
39029,Content,Redpill Linpro
25152,Non-Profit,RIPE NCC K-Root Operations
35393,Content,Magic OnLine
6057,Cable/DSL/ISP,ANTEL
34141,Content,in2ip
25182,Content,NPO (Nederlandse Publieke Omroep)
20847,Cable/DSL/ISP,Previder BV
8596,Cable/DSL/ISP,hotze.com GmbH
43436,Enterprise,LE FIGARO
7568,Cable/DSL/ISP,CS LoxInfo (IIG)
39020,NSP,Comvive Servidores
1248,Enterprise,HERE Global B.V.
29396,Cable/DSL/ISP,Eurofiber AS29396
5467,Cable/DSL/ISP,MIPT-Telecom
1140,Non-Profit,SIDN - Stichting Internet Domeinregistratie Nederland
42455,Cable/DSL/ISP,Wi-Manx Limited
28685,Cable/DSL/ISP,RoutIT B.V.
3262,Cable/DSL/ISP,"Sarenet, S.A."
33885,Cable/DSL/ISP,Ownit Broadband AB
13445,Content,WebEx Communications
39598,Cable/DSL/ISP,TiERA Broadband Operator
8784,Content,Prosodie Cap Gemini
29246,NSP,Optilian
9246,Cable/DSL/ISP,"GTA/Teleguam Holdings, LLC"
17547,Cable/DSL/ISP,M1 Net Ltd
9191,Cable/DSL/ISP,NewNet plc
5564,Content,Brightsolid
34244,Cable/DSL/ISP,Teleservice Bredband Skåne AB
25593,Content,Linkbynet
25577,NSP,CloudCoCo Connect
26785,Cable/DSL/ISP,Netwurx
28889,NSP,LinzNet ISP GmbH
32748,NSP,Steadfast Networks
577,NSP,Bell Canada Backbone
23265,NSP,Pocketinet Communications
13354,NSP,zColo Dallas
7529,NSP,NetIRD
16097,Cable/DSL/ISP,HLkomm
44706,Cable/DSL/ISP,Network Design GmbH
8469,Cable/DSL/ISP,CANCOM Managed Services GmbH
9354,Cable/DSL/ISP,Community Network Center Inc. (CNCI)
24867,Content,Adapt Services
7670,NSP,"Enecom,Inc."
42638,Cable/DSL/ISP,Coreconcept
3215,Cable/DSL/ISP,Orange France
29752,Content,"IndieClick Media Group, Inc."
23033,Content,Wowrack.com
39102,Cable/DSL/ISP,"SatTel Corporation, Ltd"
10075,NSP,Fiber@Home Global
33529,Content,Peak Web Hosting
11994,Cable/DSL/ISP,Gatespeed Broadband
42456,Cable/DSL/ISP,WideVOIP - WhichWAN / Chmurtz SaRL
33891,NSP,Core-Backbone
45047,NSP,Conacom GmbH
38082,NSP,True Internet Corporation
34931,Content,Awareness Software Limited
35000,NSP,JSC SEVEREN-TELECOM
36351,Content,"SoftLayer Technologies, Inc. (an IBM Company)"
34781,Cable/DSL/ISP,SIL Citycable
42596,NSP,antilo AG
33843,NSP,Nepustil AS33843
12731,NSP,IPHH Internet Port Hamburg GmbH
15935,NSP,ha-vel internet s.r.o.
12786,Content,Hattrick Limited
29430,Content,Audatex (Switzerland) GmbH
34960,Content,Netcetera AG
39040,NSP,NTS Workspace AG AS39040
24889,Cable/DSL/ISP,Monzoon Networks AG
28859,Cable/DSL/ISP,acdalis ag
29691,Content,Nine Internet Solutions AG
29655,Content,Trenka Informatik AG
34554,Cable/DSL/ISP,Antares Kommunikationstechnik AG (antanet.ch)
43284,NSP,IWB
2857,Educational/Research,Johannes Gutenberg-Universitaet Mainz
21219,NSP,Datagroup PJSC
27781,NSP,SMITCOMS
27926,Cable/DSL/ISP,NETPATAGONIA
44050,Cable/DSL/ISP,PIN
39145,Cable/DSL/ISP,kyberna AG
20647,NSP,IPB Internet Provider Berlin GmbH
